IWM: iShares Russell 2000 ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2024-02-29
Total Assets Under Management (in thousands):	61920400
Shares Outstanding: 306000000
Expense Ratio: 0.19%
Tracks This Index: Russell 2000 Index
ETF Database Category: Small Cap Blend Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IWM


Holding,Symbol,Weighting
"JELD-WEN Holding, Inc.",JELD,0.06%
"Agilysys, Inc.",AGYS,0.06%
"LegalZoom.com, Inc.",LZ,0.06%
"RxSight, Inc.",RXST,0.06%
Dynavax Technologies Corporation,DVAX,0.06%
NBT Bancorp Inc.,NBTB,0.06%
"UFP Technologies, Inc.",UFPT,0.06%
Ready Capital Corporation,RC,0.06%
Zeta Global Holdings Corp. Class A,ZETA,0.06%
"Extreme Networks, Inc.",EXTR,0.06%
"Hims & Hers Health, Inc. Class A",HIMS,0.06%
Acadia Realty Trust,AKR,0.06%
City Holding Company,CHCO,0.06%
Harmonic Inc.,HLIT,0.06%
"Asana, Inc. Class A",ASAN,0.06%
"PROS Holdings, Inc.",PRO,0.06%
"Heartland Financial USA, Inc.",HTLF,0.06%
Trustmark Corporation,TRMK,0.06%
EQUITY OTHER,Other,0.05%
Two Harbors Investment Corp.,TWO,0.05%
Jamf Holding Corp,JAMF,0.05%
"XPEL, Inc.",XPEL,0.05%
"Leslie\'s, Inc.",LESL,0.05%
PennyMac Mortgage Investment Trust,PMT,0.05%
Ligand Pharmaceuticals Incorporated,LGND,0.05%
Kaman Corporation Class A,KAMN,0.05%
Teekay Tankers Ltd. Class A,TNK,0.05%
"Pathward Financial, Inc.",CASH,0.05%
"Hawkins, Inc.",HWKN,0.05%
"Apogee Enterprises, Inc.",APOG,0.05%
"G-III Apparel Group, Ltd.",GIII,0.05%
Wabash National Corporation,WNC,0.05%
Cushman & Wakefield Plc,CWK,0.05%
"Collegium Pharmaceutical, Inc.",COLL,0.05%
Borr Drilling Limited,BORR,0.05%
"Encore Capital Group, Inc.",ECPG,0.05%
"Shutterstock, Inc.",SSTK,0.05%
First Bancorp,FBNC,0.05%
"Ironwood Pharmaceuticals, Inc. Class A",IRWD,0.05%
"LeMaitre Vascular, Inc.",LMAT,0.05%
Universal Corp,UVV,0.05%
"Buckle, Inc.",BKE,0.05%
"Nelnet, Inc. Class A",NNI,0.05%
Getty Realty Corp.,GTY,0.05%
"Sweetgreen, Inc. Class A",SG,0.05%
"Live Oak Bancshares, Inc.",LOB,0.05%
"John Wiley & Sons, Inc. Class A",WLY,0.05%
Mercury General Corporation,MCY,0.05%
"Helix Energy Solutions Group, Inc.",HLX,0.05%
Inhibrx Inc,INBX,0.05%
First Busey Corporation,BUSE,0.05%
"Chefs\' Warehouse, Inc.",CHEF,0.05%
"Vital Energy, Inc.",VTLE,0.05%
Ladder Capital Corp. Class A,LADR,0.05%
"Pacira Biosciences, Inc.",PCRX,0.05%
"Xencor, Inc.",XNCR,0.05%
Orion S.A.,OEC,0.05%
"MGP Ingredients, Inc.",MGPI,0.05%
"Ichor Holdings, Ltd.",ICHR,0.05%
"Alphatec Holdings, Inc.",ATEC,0.05%
"Sprinklr, Inc. Class A",CXM,0.05%
Dyne Therapeutics Inc,DYN,0.05%
"Safety Insurance Group, Inc.",SAFT,0.05%
First Commonwealth Financial Corporation,FCF,0.05%
"Cars.com, Inc.",CARS,0.05%
"UTZ Brands, Inc. Class A",UTZ,0.05%
NV5 Global Inc,NVEE,0.05%
"Stellar Bancorp, Inc.",STEL,0.05%
Columbus McKinnon Corporation,CMCO,0.05%
Easterly Government Properties Inc,DEA,0.05%
Adeia Inc.,ADEA,0.05%
Avidity Biosciences Inc,RNA,0.05%
"Stock Yards Bancorp, Inc.",SYBT,0.05%
"Pacific Biosciences of California, Inc.",PACB,0.05%
"AvePoint, Inc. Class A",AVPT,0.05%
"LTC Properties, Inc.",LTC,0.05%
FB Financial Corporation,FBK,0.05%
"PowerSchool Holdings, Inc. Class A",PWSC,0.05%
National Beverage Corp.,FIZZ,0.05%
Kforce Inc.,KFRC,0.05%
"Bumble, Inc. Class A",BMBL,0.05%
National HealthCare Corporation,NHC,0.05%
Uniti Group Inc.,UNIT,0.05%
Prothena Corp. Plc,PRTA,0.05%
"Northwest Bancshares, Inc.",NWBI,0.05%
Sphere Entertainment Co. Class A,SPHR,0.05%
"Sally Beauty Holdings, Inc.",SBH,0.05%
"Rocket Lab USA, Inc.",RKLB,0.05%
Enovix Corporation,ENVX,0.05%
"Schrodinger, Inc.",SDGR,0.05%
"Morphic Holding, Inc.",MORF,0.05%
CTS Corporation,CTS,0.05%
PAR Technology Corporation,PAR,0.05%
"Sovos Brands, Inc.",SOVO,0.05%
Horace Mann Educators Corporation,HMN,0.05%
"Douglas Emmett, Inc",DEI,0.05%
"PROG Holdings, Inc.",PRG,0.05%
Elme Communities,ELME,0.05%
Northwest Natural Holding Co.,NWN,0.05%
"Hope Bancorp, Inc.",HOPE,0.05%
"Janus International Group, Inc.",JBI,0.05%
"Akero Therapeutics, Inc.",AKRO,0.05%
Steelcase Inc. Class A,SCS,0.05%
"Empire State Realty Trust, Inc. Class A",ESRT,0.05%
Lindsay Corporation,LNN,0.05%
"Caleres, Inc.",CAL,0.05%
"Omnicell, Inc.",OMCL,0.05%
Semtech Corporation,SMTC,0.05%
"Phreesia, Inc.",PHR,0.05%
"Alexander & Baldwin, Inc.",ALEX,0.05%
Montrose Environmental Group Inc,MEG,0.05%
Dorian LPG Ltd.,LPG,0.05%
"SAGE Therapeutics, Inc.",SAGE,0.04%
"Astec Industries, Inc.",ASTE,0.04%
"Udemy, Inc.",UDMY,0.04%
Perimeter Solutions SA,PRM,0.04%
"indie Semiconductor, Inc. Class A",INDI,0.04%
"Trupanion, Inc.",TRUP,0.04%
Perdoceo Education Corporation,PRDO,0.04%
"Arcturus Therapeutics Holdings, Inc.",ARCT,0.04%
"ADMA Biologics, Inc.",ADMA,0.04%
"PDF Solutions, Inc.",PDFS,0.04%
"SMART Global Holdings, Inc.",SGH,0.04%
"Mativ Holdings, Inc.",MATV,0.04%
"SoundHound AI, Inc Class A",SOUN,0.04%
Apartment Investment & Management Co Class A,AIV,0.04%
Liberty Latin America Ltd. Class C,LILAK,0.04%
"Everi Holdings, Inc.",EVRI,0.04%
Monro Inc,MNRO,0.04%
"Model N, Inc.",MODN,0.04%
"Origin Bancorp, Inc.",OBK,0.04%
Chimera Investment Corporation,CIM,0.04%
Payoneer Global Inc.,PAYO,0.04%
MRC Global Inc.,MRC,0.04%
"ScanSource, Inc.",SCSC,0.04%
"Monarch Casino & Resort, Inc.",MCRI,0.04%
"CRA International, Inc.",CRAI,0.04%
"UMH Properties, Inc.",UMH,0.04%
"American Assets Trust, Inc.",AAT,0.04%
"Arlo Technologies, Inc.",ARLO,0.04%
"Camping World Holdings, Inc. Class A",CWH,0.04%
Infinera Corporation,INFN,0.04%
"Couchbase, Inc.",BASE,0.04%
Diamond Offshore Drilling Inc,DO,0.04%
"Benchmark Electronics, Inc.",BHE,0.04%
Hibbett Inc,HIBB,0.04%
Safehold Inc.,SAFE,0.04%
"Veritex Holdings, Inc.",VBTX,0.04%
"Harmony Biosciences Holdings, Inc.",HRMY,0.04%
"Kennedy-Wilson Holdings, Inc.",KW,0.04%
OneSpaWorld Holdings Ltd.,OSW,0.04%
"CVR Energy, Inc.",CVI,0.04%
BlueLinx Holdings Inc.,BXC,0.04%
"Skyward Specialty Insurance Group, Inc.",SKWD,0.04%
Enact Holdings Inc,ACT,0.04%
"Ingles Markets, Incorporated Class A",IMKTA,0.04%
"ANI Pharmaceuticals, Inc.",ANIP,0.04%
SP Plus Corporation,SP,0.04%
"Vir Biotechnology, Inc.",VIR,0.04%
"Employers Holdings, Inc.",EIG,0.04%
"Weis Markets, Inc.",WMK,0.04%
"Healthcare Services Group, Inc.",HCSG,0.04%
"4D Molecular Therapeutics, Inc.",FDMT,0.04%
Winmark Corporation,WINA,0.04%
"Veris Residential, Inc.",VRE,0.04%
Brookdale Senior Living Inc.,BKD,0.04%
"John B. Sanfilippo & Son, Inc.",JBSS,0.04%
"Dream Finders Homes, Inc. Class A",DFH,0.04%
"Victory Capital Holdings, Inc. Class A",VCTR,0.04%
Peoples Bancorp Inc.,PEBO,0.04%
VSE Corporation,VSEC,0.04%
"Globalstar, Inc.",GSAT,0.04%
"Amylyx Pharmaceuticals, Inc.",AMLX,0.04%
"eXp World Holdings, Inc.",EXPI,0.04%
"Relay Therapeutics, Inc.",RLAY,0.04%
"Zuora, Inc. Class A",ZUO,0.04%
"Everbridge, Inc.",EVBG,0.04%
BrightSpire Capital Inc,BRSP,0.04%
TriCo Bancshares,TCBK,0.04%
"Tarsus Pharmaceuticals, Inc.",TARS,0.04%
"Worthington Steel, Inc.",WS,0.04%
"Alpine Immune Sciences, Inc.",ALPN,0.04%
Scholastic Corporation,SCHL,0.04%
"Claros Mortgage Trust, Inc.",CMTG,0.04%
National Bank Holdings Corporation Class A,NBHC,0.04%
"Bread Financial Holdings, Inc.",BFH,0.04%
"MFA Financial, Inc.",MFA,0.04%
"Revolve Group, Inc Class A",RVLV,0.04%
"Plymouth Industrial REIT, Inc.",PLYM,0.04%
"A10 Networks, Inc.",ATEN,0.04%
"PRA Group, Inc.",PRAA,0.04%
Service Properties Trust,SVC,0.04%
"Warby Parker, Inc. Class A",WRBY,0.04%
"Beazer Homes USA, Inc.",BZH,0.04%
"Nicolet Bankshares, Inc.",NIC,0.04%
"United Natural Foods, Inc.",UNFI,0.04%
"Franklin BSP Realty Trust, Inc.",FBRT,0.04%
"Day One Biopharmaceuticals, Inc.",DAWN,0.04%
Alkami Technology Inc,ALKT,0.04%
"S&T Bancorp, Inc.",STBA,0.04%
"PubMatic, Inc. Class A",PUBM,0.04%
Westamerica Bancorporation,WABC,0.04%
"Fluence Energy, Inc. Class A",FLNC,0.04%
"Cassava Sciences, Inc.",SAVA,0.04%
Ryerson Holding Corporation,RYI,0.04%
"Chegg, Inc.",CHGG,0.04%
Quanex Building Products Corporation,NX,0.04%
Kaiser Aluminum Corporation,KALU,0.04%
AdaptHealth Corp.,AHCO,0.04%
Koppers Holdings Inc.,KOP,0.04%
"German American Bancorp, Inc.",GABC,0.04%
"Innoviva, Inc.",INVA,0.04%
LendingClub Corp,LC,0.04%
"QCR Holdings, Inc.",QCRH,0.04%
Digi International Inc.,DGII,0.04%
"AMERISAFE, Inc.",AMSF,0.04%
Sapiens International Corporation NV,SPNS,0.04%
"BioCryst Pharmaceuticals, Inc.",BCRX,0.04%
"WisdomTree, Inc.",WT,0.04%
"IES Holdings, Inc.",IESC,0.04%
"Marten Transport, Ltd.",MRTN,0.04%
"Sana Biotechnology, Inc.",SANA,0.04%
"N-able, Inc.",NABL,0.04%
Geron Corporation,GERN,0.04%
"Provident Financial Services, Inc.",PFS,0.04%
Forward Air Corporation,FWRD,0.04%
"Krispy Kreme, Inc.",DNUT,0.04%
Allegiant Travel Company,ALGT,0.04%
"MacroGenics, Inc.",MGNX,0.04%
"Malibu Boats, Inc. Class A",MBUU,0.04%
Metallus Inc.,MTUS,0.04%
"Intapp, Inc.",INTA,0.04%
TriMas Corporation,TRS,0.04%
"Arcus Biosciences, Inc.",RCUS,0.04%
"Cytek Biosciences, Inc.",CTKB,0.04%
NETSTREIT Corp.,NTST,0.04%
"MiMedx Group, Inc.",MDXG,0.04%
"National Western Life Group, Inc. Class A",NWLI,0.04%
"ARMOUR Residential REIT, Inc.",ARR,0.04%
"Sandy Spring Bancorp, Inc.",SASR,0.04%
MannKind Corporation,MNKD,0.04%
"Thermon Group Holdings, Inc.",THR,0.04%
Energy Fuels Inc.,EFR,0.04%
"Proto Labs, Inc.",PRLB,0.04%
"Pliant Therapeutics, Inc.",PLRX,0.04%
89bio Inc,ETNB,0.03%
"Sturm, Ruger & Company, Inc.",RGR,0.03%
Kiniksa Pharmaceuticals Ltd. Class A,KNSA,0.03%
Genco Shipping & Trading Ltd,GNK,0.03%
Sabre Corporation,SABR,0.03%
Embecta Corporation,EMBC,0.03%
"Myers Industries, Inc.",MYE,0.03%
Herbalife Ltd.,HLF,0.03%
Shenandoah Telecommunications Company,SHEN,0.03%
"Armada Hoffler Properties, Inc.",AHH,0.03%
"QuinStreet, Inc.",QNST,0.03%
"REV Group, Inc.",REVG,0.03%
SiriusPoint Ltd,SPNT,0.03%
"Comstock Resources, Inc.",CRK,0.03%
"Haynes International, Inc.",HAYN,0.03%
"Wolverine World Wide, Inc.",WWW,0.03%
"New York Mortgage Trust, Inc.",NYMT,0.03%
"Piedmont Office Realty Trust, Inc. Class A",PDM,0.03%
"Kelly Services, Inc. Class A",KELYA,0.03%
"Accolade, Inc.",ACCD,0.03%
"HCI Group, Inc.",HCI,0.03%
Bank First Corp,BFC,0.03%
Anywhere Real Estate Inc.,HOUS,0.03%
"Banco Latinoamericano de Comercio Exterior, S.A. Class E",BLX,0.03%
"RPC, Inc.",RES,0.03%
"ConnectOne Bancorp, Inc.",CNOB,0.03%
Nabors Industries Ltd.,NBR,0.03%
"Redwood Trust, Inc.",RWT,0.03%
"Ambac Financial Group, Inc.",AMBC,0.03%
"Hovnanian Enterprises, Inc. Class A",HOV,0.03%
"BrightSphere Investment Group, Inc.",BSIG,0.03%
Repay Holdings Corp. Class A,RPAY,0.03%
"Artivion, Inc.",AORT,0.03%
"HealthStream, Inc.",HSTM,0.03%
"Southside Bancshares, Inc.",SBSI,0.03%
Matthews International Corporation Class A,MATW,0.03%
CECO Environmental Corp.,CECO,0.03%
F&G Annuities & Life Inc,FG,0.03%
"EyePoint Pharmaceuticals, Inc.",EYPT,0.03%
Nordic American Tankers Limited,NAT,0.03%
"Nu Skin Enterprises, Inc. Class A",NUS,0.03%
"Editas Medicine, Inc.",EDIT,0.03%
"MarineMax, Inc.",HZO,0.03%
Patria Investments Ltd. Class A,PAX,0.03%
PureCycle Technologies Inc,PCT,0.03%
Ardmore Shipping Corp.,ASC,0.03%
"Heidrick & Struggles International, Inc.",HSII,0.03%
Liquidia Corporation,LQDA,0.03%
Lemonade Inc,LMND,0.03%
"Compass Minerals International, Inc.",CMP,0.03%
Unitil Corporation,UTL,0.03%
"Caribou Biosciences, Inc.",CRBU,0.03%
Clear Channel Outdoor Holdings Inc,CCO,0.03%
"Lakeland Bancorp, Inc.",LBAI,0.03%
"Barrett Business Services, Inc.",BBSI,0.03%
"Transcat, Inc.",TRNS,0.03%
Redfin Corporation,RDFN,0.03%
"Paramount Group, Inc.",PGRE,0.03%
"CryoPort, Inc.",CYRX,0.03%
"Thryv Holdings, Inc.",THRY,0.03%
VIZIO Holding Corp. Class A,VZIO,0.03%
"Ameresco, Inc. Class A",AMRC,0.03%
"Insteel Industries, Inc.",IIIN,0.03%
"Cadre Holdings, Inc.",CDRE,0.03%
Univest Financial Corporation,UVSP,0.03%
Aurinia Pharmaceuticals Inc.,AUPH,0.03%
"Cabaletta Bio, Inc.",CABA,0.03%
"Viridian Therapeutics, Inc.",VRDN,0.03%
Tompkins Financial Corporation,TMP,0.03%
"Hain Celestial Group, Inc.",HAIN,0.03%
"Community Trust Bancorp, Inc.",CTBI,0.03%
Arcutis Biotherapeutics Inc,ARQT,0.03%
"Methode Electronics, Inc.",MEI,0.03%
Merchants Bancorp,MBIN,0.03%
"Coeur Mining, Inc.",CDE,0.03%
Brandywine Realty Trust,BDN,0.03%
"Air Transport Services Group, Inc.",ATSG,0.03%
"Marcus & Millichap, Inc.",MMI,0.03%
"Berkshire Hills Bancorp, Inc.",BHLB,0.03%
"PC Connection, Inc.",CNXN,0.03%
Deluxe Corporation,DLX,0.03%
"Advansix, Inc.",ASIX,0.03%
REX American Resources Corporation,REX,0.03%
"Amneal Pharmaceuticals, Inc. Class A",AMRX,0.03%
"Verve Therapeutics, Inc.",VERV,0.03%
"NexPoint Residential Trust, Inc.",NXRT,0.03%
"Triumph Group, Inc.",TGI,0.03%
"ZipRecruiter, Inc. Class A",ZIP,0.03%
"Hawaiian Holdings, Inc.",HA,0.03%
Ecovyst Inc,ECVT,0.03%
"Guess?, Inc.",GES,0.03%
Amplitude Inc Class A,AMPL,0.03%
"First Bancshares, Inc.",FBMS,0.03%
"Dynex Capital, Inc.",DX,0.03%
"SI-BONE, Inc.",SIBN,0.03%
Core Laboratories Inc.,CLB,0.03%
OceanFirst Financial Corp.,OCFC,0.03%
FLEX LNG Ltd,FLNG,0.03%
Viad Corp,VVI,0.03%
"Sonic Automotive, Inc. Class A",SAH,0.03%
Aspen Aerogels Inc,ASPN,0.03%
"TechTarget, Inc.",TTGT,0.03%
"Titan International, Inc.",TWI,0.03%
Sunnova Energy International Inc,NOVA,0.03%
Fresh Del Monte Produce Inc.,FDP,0.03%
Open Lending Corporation,LPRO,0.03%
Ellington Financial Inc.,EFC,0.03%
Green Plains Inc.,GPRE,0.03%
"Zentalis Pharmaceuticals, Inc.",ZNTL,0.03%
First Advantage Corp.,FA,0.03%
"Aurora Innovation, Inc. Class A",AUR,0.03%
"Silk Road Medical, Inc.",SILK,0.03%
Navitas Semiconductor Corporation,NVTS,0.03%
"Luminar Technologies, Inc. Class A",LAZR,0.03%
Middlesex Water Company,MSEX,0.03%
"B&G Foods, Inc.",BGS,0.03%
Crescent Energy Company Class A,CRGY,0.03%
1st Source Corporation,SRCE,0.03%
Zymeworks Inc.,ZYME,0.03%
"Eagle Bancorp, Inc.",EGBN,0.03%
"Vimeo, Inc.",VMEO,0.03%
SunOpta Inc.,STKL,0.03%
"SunCoke Energy, Inc.",SXC,0.03%
SpartanNash Company,SPTN,0.03%
Archer Aviation Inc Class A,ACHR,0.03%
Community Healthcare Trust Incorporated,CHCT,0.03%
"Mirum Pharmaceuticals, Inc.",MIRM,0.03%
ProPetro Holding Corp.,PUMP,0.03%
"Brookline Bancorp, Inc.",BRKL,0.03%
"Deciphera Pharmaceuticals, Inc.",DCPH,0.03%
"Dime Community Bancshares, Inc.",DCOM,0.03%
Dole Plc,DOLE,0.03%
Diversified Healthcare Trust,DHC,0.03%
"Edgewise Therapeutics, Inc.",EWTX,0.03%
"Spirit Airlines, Inc.",SAVE,0.03%
"Dine Brands Global, Inc.",DIN,0.03%
IMAX Corporation,IMAX,0.03%
"Lifestance Health Group, Inc.",LFST,0.03%
"Apogee Therapeutics, Inc.",APGE,0.03%
"Select Water Solutions, Inc. Class A",WTTR,0.03%
"Altimmune, Inc.",ALT,0.03%
"Summit Hotel Properties, Inc.",INN,0.03%
"Janux Therapeutics, Inc.",JANX,0.03%
"First Mid Bancshares, Inc.",FMBH,0.03%
Vicor Corporation,VICR,0.03%
Enviri Corporation,NVRI,0.03%
"Vita Coco Company, Inc.",COCO,0.03%
Blue Bird Corporation,BLBD,0.03%
Ethan Allen Interiors Inc.,ETD,0.03%
"Olympic Steel, Inc.",ZEUS,0.03%
"FIGS, Inc. Class A",FIGS,0.03%
Centerspace,CSR,0.03%
Varex Imaging Corporation,VREX,0.03%
Premier Financial Corp.,PFC,0.03%
"Pediatrix Medical Group, Inc.",MD,0.03%
"E2open Parent Holdings, Inc. Class A",ETWO,0.03%
Gorman-Rupp Company,GRC,0.03%
"Grid Dynamics Holdings, Inc. Class A",GDYN,0.03%
"American Axle & Manufacturing Holdings, Inc.",AXL,0.03%
"Energy Recovery, Inc.",ERII,0.03%
"Hudson Pacific Properties, Inc.",HPP,0.03%
"Xometry, Inc. Class A",XMTR,0.03%
"Dril-Quip, Inc.",DRQ,0.03%
"REGENXBIO, Inc.",RGNX,0.03%
"BJ\'s Restaurants, Inc.",BJRI,0.03%
"Avanos Medical, Inc.",AVNS,0.03%
"Standard Motor Products, Inc.",SMP,0.03%
"Interface, Inc.",TILE,0.03%
"Golden Entertainment, Inc.",GDEN,0.03%
"U.S. Silica Holdings, Inc.",SLCA,0.03%
"Hyster-Yale Materials Handling, Inc. Class A",HY,0.03%
"Capitol Federal Financial, Inc.",CFFN,0.03%
Ocular Therapeutix Inc,OCUL,0.03%
"Cass Information Systems, Inc.",CASS,0.03%
Scholar Rock Holding Corp.,SRRK,0.03%
Quanterix Corporation,QTRX,0.03%
"AssetMark Financial Holdings, Inc.",AMK,0.03%
"Avid Bioservices, Inc.",CDMO,0.02%
"KalVista Pharmaceuticals, Inc.",KALV,0.02%
"Republic Bancorp, Inc. Class A",RBCAA,0.02%
"A-Mark Precious Metals, Inc.",AMRK,0.02%
Global Industrial Company,GIC,0.02%
"Southern Missouri Bancorp, Inc.",SMBC,0.02%
"Simulations Plus, Inc.",SLP,0.02%
Heritage Financial Corporation,HFWA,0.02%
"Savara, Inc.",SVRA,0.02%
AMC Networks Inc. Class A,AMCX,0.02%
"Y-mAbs Therapeutics, Inc.",YMAB,0.02%
"i3 Verticals, Inc. Class A",IIIV,0.02%
"Fulgent Genetics, Inc.",FLGT,0.02%
Astronics Corporation,ATRO,0.02%
"Olo, Inc. Class A",OLO,0.02%
"Revance Therapeutics, Inc.",RVNC,0.02%
Flushing Financial Corporation,FFIC,0.02%
"Hudson Technologies, Inc.",HDSN,0.02%
Central Garden & Pet Company,CENT,0.02%
"Stagwell, Inc. Class A",STGW,0.02%
"Evolv Technologies Holdings, Inc.",EVLV,0.02%
"Paragon 28, Inc.",FNA,0.02%
"TETRA Technologies, Inc.",TTI,0.02%
Nevro Corp.,NVRO,0.02%
"SEMrush Holdings, Inc. Class A",SEMR,0.02%
"Instructure Holdings, Inc.",INST,0.02%
Preferred Bank,PFBC,0.02%
Ares Commercial Real Estate Corporation,ACRE,0.02%
World Acceptance Corporation,WRLD,0.02%
Whitestone REIT,WSR,0.02%
"Vitesse Energy, Inc.",VTS,0.02%
Pitney Bowes Inc.,PBI,0.02%
"FARO Technologies, Inc.",FARO,0.02%
"Douglas Dynamics, Inc.",PLOW,0.02%
Integral Ad Science Holding Corp,IAS,0.02%
"Argan, Inc.",AGX,0.02%
"Yext, Inc.",YEXT,0.02%
"United States Lime & Minerals, Inc.",USLM,0.02%
"Alignment Healthcare, Inc.",ALHC,0.02%
"Evolus, Inc.",EOLS,0.02%
"Lightwave Logic, Inc.",LWLG,0.02%
"Altus Power, Inc. Class A",AMPS,0.02%
Daily Journal Corporation,DJCO,0.02%
"Smith & Wesson Brands, Inc.",SWBI,0.02%
"Resources Connection, Inc.",RGP,0.02%
Metropolitan Bank Holding Corp.,MCB,0.02%
James River Group Holdings Ltd,JRVR,0.02%
"Novavax, Inc.",NVAX,0.02%
"Life Time Group Holdings, Inc.",LTH,0.02%
Designer Brands Inc. Class A,DBI,0.02%
"Liquidity Services, Inc.",LQDT,0.02%
"Pactiv Evergreen, Inc.",PTVE,0.02%
"Vital Farms, Inc.",VITL,0.02%
V2X Inc,VVX,0.02%
"LSB Industries, Inc.",LXU,0.02%
"nLIGHT, Inc.",LASR,0.02%
"ALX Oncology Holdings, Inc.",ALXO,0.02%
"Cogent Biosciences, Inc.",COGT,0.02%
Bandwidth Inc. Class A,BAND,0.02%
SmartRent Inc Class A,SMRT,0.02%
"Rush Enterprises, Inc. Class B",RUSHB,0.02%
ARKO Corp,ARKO,0.02%
"PetIQ, Inc. Class A",PETQ,0.02%
"National Presto Industries, Inc.",NPK,0.02%
"TPG RE Finance Trust, Inc.",TRTX,0.02%
"CareDx, Inc.",CDNA,0.02%
First Financial Corporation,THFF,0.02%
ORIC Pharmaceuticals Inc,ORIC,0.02%
NVE Corporation,NVEC,0.02%
Super Group (SGHC) Limited,SGHC,0.02%
Tutor Perini Corporation,TPC,0.02%
Bel Fuse Inc. Class B,BELFB,0.02%
Peakstone Realty Trust,PKST,0.02%
Ivanhoe Electric Inc.,IE,0.02%
OneSpan Inc.,OSPN,0.02%
"Bar Harbor Bankshares, Inc.",BHB,0.02%
Brookfield Business Corp. Class A,BBUC,0.02%
Chatham Lodging Trust,CLDT,0.02%
Costamare Inc.,CMRE,0.02%
"Portillo\'s, Inc. Class A",PTLO,0.02%
HarborOne Bancorp Inc,HONE,0.02%
"CrossFirst Bankshares, Inc.",CFB,0.02%
"Health Catalyst, Inc.",HCAT,0.02%
"Universal Insurance Holdings, Inc.",UVE,0.02%
Berry Corporation,BRY,0.02%
Kinetik Holdings Inc. Class A,KNTK,0.02%
"NerdWallet, Inc. Class A",NRDS,0.02%
"First Watch Restaurant Group, Inc.",FWRG,0.02%
"Business First Bancshares, Inc.",BFST,0.02%
Alpha and Omega Semiconductor Limited,AOSL,0.02%
"Chuy\'s Holdings, Inc.",CHUY,0.02%
"Movado Group, Inc.",MOV,0.02%
"Matterport, Inc. Class A",MTTR,0.02%
Definitive Healthcare Corp. Class A,DH,0.02%
Arrow Financial Corporation,AROW,0.02%
Peapack-Gladstone Financial Corporation,PGC,0.02%
"HilleVax, Inc",HLVX,0.02%
Eagle Bulk Shipping Inc,EGLE,0.02%
fuboTV Inc.,FUBO,0.02%
"Atmus Filtration Technologies, Inc.",ATMU,0.02%
"European Wax Center, Inc. Class A",EWCZ,0.02%
Franklin Covey Co.,FC,0.02%
First Community Bankshares Inc,FCBC,0.02%
Mercantile Bank Corporation,MBWM,0.02%
"Great Southern Bancorp, Inc.",GSBC,0.02%
"Global Medical REIT, Inc.",GMRE,0.02%
Central Pacific Financial Corp.,CPF,0.02%
Teekay Corporation,TK,0.02%
"Allogene Therapeutics, Inc.",ALLO,0.02%
Great Lakes Dredge & Dock Corporation,GLDD,0.02%
"Corsair Gaming, Inc.",CRSR,0.02%
NANO-X IMAGING LTD,NNOX,0.02%
ZimVie Inc.,ZIMV,0.02%
OrthoPediatrics Corp.,KIDS,0.02%
"United Fire Group, Inc.",UFCS,0.02%
"KKR Real Estate Finance Trust, Inc.",KREF,0.02%
"Alector, Inc.",ALEC,0.02%
"Columbia Financial, Inc.",CLBK,0.02%
"Fate Therapeutics, Inc.",FATE,0.02%
"MaxCyte, Inc.",MXCT,0.02%
Kearny Financial Corp.,KRNY,0.02%
"Ennis, Inc.",EBF,0.02%
"Disc Medicine, Inc.",IRON,0.02%
Turning Point Brands Inc,TPB,0.02%
"Conduent, Inc.",CNDT,0.02%
"Tango Therapeutics, Inc.",TNGX,0.02%
Pennant Group Inc,PNTG,0.02%
Digimarc Corporation,DMRC,0.02%
Amerant Bancorp Inc. Class A,AMTB,0.02%
Bristow Group Inc,VTOL,0.02%
"Sun Country Airlines Holdings, Inc.",SNCY,0.02%
"Heartland Express, Inc.",HTLD,0.02%
"Replimune Group, Inc.",REPL,0.02%
3D Systems Corporation,DDD,0.02%
Gogo Inc.,GOGO,0.02%
"Accel Entertainment, Inc. Class A",ACEL,0.02%
FTAI Infrastructure Incorporation,FIP,0.02%
"MidWestOne Financial Group, Inc.",MOFG,0.02%
"Midland States Bancorp, Inc.",MSBI,0.02%
"AnaptysBio, Inc.",ANAB,0.02%
"Kimball Electronics, Inc.",KE,0.02%
"CEVA, Inc.",CEVA,0.02%
Tellurian Inc.,TELL,0.02%
"Alexander\'s, Inc.",ALX,0.02%
Hanmi Financial Corporation,HAFC,0.02%
Universal Health Realty Income Trust,UHT,0.02%
Paysafe Ltd,PSFE,0.02%
Xperi Inc,XPER,0.02%
"OPKO Health, Inc.",OPK,0.02%
"ADTRAN Holdings, Inc.",ADTN,0.02%
"B. Riley Financial, Inc.",RILY,0.02%
"Covenant Logistics Group, Inc. Class A",CVLG,0.02%
SolarWinds Corp.,SWI,0.02%
"Stoneridge, Inc.",SRI,0.02%
Virgin Galactic Holdings Inc,SPCE,0.02%
IDT Corporation Class B,IDT,0.02%
Sterling Check Corp.,STER,0.02%
"Astria Therapeutics, Inc.",ATXS,0.02%
"Beyond Meat, Inc.",BYND,0.02%
"Limbach Holdings, Inc.",LMB,0.02%
Summit Therapeutics Inc,SMMT,0.02%
"Mitek Systems, Inc.",MITK,0.02%
